song_title,artist,language,genre,era,emotion_tag,,mood
Butta Bomma,Armaan Malik,Telugu,Pop,new,happy,,happy
Samajavaragamana,Sid Sriram,Telugu,Melody,new,happy,,happy
Ramuloo Ramulaa,Anurag Kulkarni,Telugu,Folk,new,happy,,happy
Seeti Maar,Jaspreet Jasz,Telugu,Mass,new,happy,,happy
Mind Block,Blaaze,Telugu,Mass,new,happy,,happy
Oo Antava,Indravathi Chauhan,Telugu,Mass,new,happy,,happy
Inkem Inkem Inkem Kaavaale,Sid Sriram,Telugu,Melody,new,happy,,happy
Vachadayyo Saami,Kailash Kher,Telugu,Folk,new,happy,,happy
Pilla Raa,Anurag Kulkarni,Telugu,Romantic,new,happy,,happy
Dil Se,Anurag Kulkarni,Telugu,Melody,new,happy,,happy
Ninnila Ninnila,Sid Sriram,Telugu,Melody,new,sad,,sad
Adiga Adiga,Sid Sriram,Telugu,Melody,new,sad,,sad
Yenti Yenti,Chinmayi,Telugu,Romantic,new,sad,,sad
Undiporaadhey,Sid Sriram,Telugu,Melody,new,sad,,sad
Nee Kallalona,Anurag Kulkarni,Telugu,Melody,new,sad,,sad
Priyathama Priyathama,Chinmayi,Telugu,Melody,new,sad,,sad
Em Sandeham Ledu,KK,Telugu,Romantic,new,sad,,sad
Kanulanu Thaake,Arijit Singh,Telugu,Melody,new,sad,,sad
Nee Choopule,Karthik,Telugu,Melody,new,sad,,sad
Inthandham,SP Charan,Telugu,Melody,new,sad,,sad
Butta Bomma,Armaan Malik,Telugu,Pop,new,happy,,angry
Samajavaragamana,Sid Sriram,Telugu,Melody,new,happy,,angry
Ramuloo Ramulaa,Anurag Kulkarni,Telugu,Folk,new,happy,,angry
Seeti Maar,Jaspreet Jasz,Telugu,Mass,new,happy,,angry
Mind Block,Blaaze,Telugu,Mass,new,happy,,angry
Oo Antava,Indravathi Chauhan,Telugu,Mass,new,happy,,angry
Inkem Inkem Inkem Kaavaale,Sid Sriram,Telugu,Melody,new,happy,,angry
Vachadayyo Saami,Kailash Kher,Telugu,Folk,new,happy,,angry
Pilla Raa,Anurag Kulkarni,Telugu,Romantic,new,happy,,angry
Dil Se,Anurag Kulkarni,Telugu,Melody,new,happy,,angry
Jagadananda Karaka,SP Balasubrahmanyam,Telugu,Classical,old,neutral,,calm
Sankarabharanamlo,SP Balasubrahmanyam,Telugu,Classical,old,neutral,,calm
Brahmam Okate,SP Balasubrahmanyam,Telugu,Devotional,old,neutral,,calm
Madhura Nagarilo,SP Balasubrahmanyam,Telugu,Classical,old,neutral,,calm
Telusa Manasa,Chitra,Telugu,Melody,old,neutral,,calm
Sankarabharanamlo,SP Balasubrahmanyam,Telugu,Classical,old,neutral,,calm
Jagadananda Karaka,SP Balasubrahmanyam,Telugu,Classical,old,neutral,,calm
Brahmam Okate,SP Balasubrahmanyam,Telugu,Devotional,old,neutral,,calm
Madhura Nagarilo,SP Balasubrahmanyam,Telugu,Classical,old,neutral,,calm
Sri Raghuram,S P Sailaja,Telugu,Devotional,old,neutral,,calm
Ninnila Ninnila,Sid Sriram,Telugu,Melody,new,sad,,romantic
Adiga Adiga,Sid Sriram,Telugu,Melody,new,sad,,romantic
Yenti Yenti,Chinmayi,Telugu,Romantic,new,sad,,romantic
Undiporaadhey,Sid Sriram,Telugu,Melody,new,sad,,romantic
Nee Kallalona,Anurag Kulkarni,Telugu,Melody,new,sad,,romantic
Priyathama Priyathama,Chinmayi,Telugu,Melody,new,sad,,romantic
Em Sandeham Ledu,KK,Telugu,Romantic,new,sad,,romantic
Kanulanu Thaake,Arijit Singh,Telugu,Melody,new,sad,,romantic
Nee Choopule,Karthik,Telugu,Melody,new,sad,,romantic
Inthandham,SP Charan,Telugu,Melody,new,sad,,romantic
Butta Bomma,Armaan Malik,Telugu,Pop,new,happy,,energetic
Samajavaragamana,Sid Sriram,Telugu,Melody,new,happy,,energetic
Ramuloo Ramulaa,Anurag Kulkarni,Telugu,Folk,new,happy,,energetic
Seeti Maar,Jaspreet Jasz,Telugu,Mass,new,happy,,energetic
Mind Block,Blaaze,Telugu,Mass,new,happy,,energetic
Oo Antava,Indravathi Chauhan,Telugu,Mass,new,happy,,energetic
Inkem Inkem Inkem Kaavaale,Sid Sriram,Telugu,Melody,new,happy,,energetic
Vachadayyo Saami,Kailash Kher,Telugu,Folk,new,happy,,energetic
Pilla Raa,Anurag Kulkarni,Telugu,Romantic,new,happy,,energetic
Dil Se,Anurag Kulkarni,Telugu,Melody,new,happy,,energetic
Fear Song,Anirudh Ravichander,Telugu,Mass,new,fear,,anxious
Daavudi,Nakash Aziz,Telugu,Mass,new,fear,,anxious
Gelupu Thalupule,Sri Rama Chandra,Telugu,Inspirational,new,fear,,anxious
Pranaamam,Shankar Mahadevan,Telugu,Devotional,new,fear,,anxious
Sahasam Swasaga Sagipo,Karthik,Telugu,Adventure,new,fear,,anxious
Agni Skalana,SP Balasubrahmanyam,Telugu,Patriotic,old,fear,,anxious
Vetagadu Theme,Instrumental,Telugu,Background,old,fear,,anxious
Baahubali Theme,MM Keeravani,Telugu,Orchestral,new,fear,,anxious
Siva Sivaya Potri,Daler Mehndi,Telugu,Devotional,new,fear,,anxious
Dheevara,Ramya Behara,Telugu,Epic,new,fear,,anxious
Asha Pasham,Cactus,Telugu,Indie,new,surprise,,surprised
Inkem Inkem Inkem Kaavaale,Sid Sriram,Telugu,Melody,new,surprise,,surprised
Adento Gaani Vunnapaatuga,Anurag Kulkarni,Telugu,Melody,new,surprise,,surprised
Naatu Naatu,Rahul Sipligunj,Telugu,Folk,new,surprise,,surprised
Life Of Ram,Pradeep Kumar,Telugu,Melody,new,surprise,,surprised
Vellipomaakey,Sid Sriram,Telugu,Indie,new,surprise,,surprised
Padara Padara,Shankar Mahadevan,Telugu,Folk,new,surprise,,surprised
Samayama,Anurag Kulkarni,Telugu,Melody,new,surprise,,surprised
Ammaye Sannaga,Anurag Kulkarni,Telugu,Romantic,new,surprise,,surprised
Chal Chal Gurram,Rahul Sipligunj,Telugu,Folk,new,surprise,,surprised
Badtameez Dil,Benny Dayal,Hindi,Pop,new,happy,,happy
Subha Hone Na De,Mika Singh,Hindi,Pop,new,happy,,happy
Gallan Goodiyaan,Yashita Sharma,Hindi,Pop,new,happy,,happy
London Thumakda,Labh Janjua,Hindi,Folk,new,happy,,happy
Nashe Si Chadh Gayi,Arijit Singh,Hindi,Pop,new,happy,,happy
Kar Gayi Chull,Badshah,Hindi,Pop,new,happy,,happy
The Disco Song,Benny Dayal,Hindi,Pop,new,happy,,happy
Balam Pichkari,Vishal Dadlani,Hindi,Folk,new,happy,,happy
Cutiepie,Pritam,Hindi,Pop,new,happy,,happy
Kala Chashma,Amar Arshi,Hindi,Pop,new,happy,,happy
Tum Hi Ho,Arijit Singh,Hindi,Romantic,new,sad,,sad
Channa Mereya,Arijit Singh,Hindi,Romantic,new,sad,,sad
Agar Tum Saath Ho,Alka Yagnik,Hindi,Melody,new,sad,,sad
Hamdard,Arijit Singh,Hindi,Melody,new,sad,,sad
Phir Le Aya Dil,Arijit Singh,Hindi,Ghazal,new,sad,,sad
Jag Soona Soona Lage,Rahat Fateh Ali Khan,Hindi,Melody,new,sad,,sad
Tadap Tadap,KK,Hindi,Melody,old,sad,,sad
Tujhe Bhula Diya,Mohit Chauhan,Hindi,Rock,new,sad,,sad
Bekhayali,Sachet Tandon,Hindi,Rock,new,sad,,sad
Khairiyat,Arijit Singh,Hindi,Melody,new,sad,,sad
Tum Hi Ho,Arijit Singh,Hindi,Romantic,new,sad,,angry
Channa Mereya,Arijit Singh,Hindi,Romantic,new,sad,,angry
